data;

set Samochody := s1, s2, s3, s4, s5, s6, s7;

set Ladowarki := l1, l2, l3, l4;

param E :=
s1 l1 6 s1 l2 6 s1 l3 6 s1 l4 6 
s2 l1 6 s2 l2 6 s2 l3 6 s2 l4 6 
s3 l1 6 s3 l2 6 s3 l3 6 s3 l4 6 
s4 l1 6 s4 l2 6 s4 l3 6 s4 l4 6 
s5 l1 6 s5 l2 6 s5 l3 6 s5 l4 6 
s6 l1 6 s6 l2 6 s6 l3 6 s6 l4 6 
s7 l1 6 s7 l2 6 s7 l3 6 s7 l4 6 ;

param D :=
s1 l1 4 s1 l2 2 s1 l3 2 s1 l4 1
s2 l1 6 s2 l2 3 s2 l3 3 s2 l4 1.5 
s3 l1 1 s3 l2 0.5 s3 l3 0.5 s3 l4 0.25
s4 l1 8 s4 l2 4 s4 l3 4 s4 l4 2
s5 l1 10 s5 l2 5 s5 l3 5 s5 l4 2.5
s6 l1 18 s6 l2 9 s6 l3 9 s6 l4 4.5 
s7 l1 12 s7 l2 6 s7 l3 6 s7 l4 3;

param O :=
s1 10
s2 10
s3 12
s4 14
s5 12
s6 12
s7 10;

param Z :=
s1 25
s2 25
s3 50
s4 100
s5 25
s6 50
s7 100;

end;
